URL,Version,Status,OIDs,Name,Title,Description,Used
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBO,1.0.0,active,,BRCBO,Classificação Brasileira de Ocupações (CBO),"Classifica as profissões do mercado de trabalho brasileiro.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.0,draft,,BRCIAP2,Classificação Internacional de Atenção Primária - Segunda Edição (CIAP2),"Classifica os problemas identificados no contato assistencial pelos profissionais de saúde, os motivos da contato assistencial e as respostas propostas pela equipe seguindo a sistematização SOAP.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCID10,1.0.0,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão (CID-10),"Classifica as doenças e outros problemas em saúde registrados em diversos tipos de documentos clínicos.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmAMPP,1.0.0,draft,,BRObmAMPP,Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) na Ontologia Brasileira de Medicamentos (OBM),"Apresenta o Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) e seu Código na Ontologia Brasileira de Medicamentos (OBM)",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmANVISA,1.0.0,draft,,BRObmANVISA,Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) na Agência Nacional de Vigilância Sanitária (Anvisa),"Apresenta o Produto Medicinal Comercial com Apresentação (AMPP) e seu Código de Registro na Agência Nacional de Vigilância Sanitária (Anvisa)",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmCATMAT,1.0.0,draft,,BRObmCATMAT,Terminologia de Produto Medicinal Virtual (VMP) no Catálogo de Materiais (CATMAT),"Apresenta o Produto Medicinal Virtual (VMP) e seu código no Catálogo de Materiais (CATMAT)",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmEAN,1.0.0,draft,,BRObmEAN,Terminologia de Produto Medicinal Virtual (VMP) na GS1.org,"Apresenta o Produto Medicinal Virtual (VMP) e seu Número Europeu do Artigo (EAN) na GS1.org",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmVMP,1.0.0,draft,,BRObmVMP,Terminologia de Produto Medicinal Virtual (VMP) na Ontologia Brasileira de Medicamentos (OBM),"Apresenta o Produto Medicinal Virtual (VMP) e seu Código na Ontologia Brasileira de Medicamentos (OBM)",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDispensacaoRealizada,1.0.0,draft,,CodeSystem-BRTipoDispensacaoRealizada,Tipo de Dispensação Realizada,"Indica o tipo de dispensação que foi realizada",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDocumento,1.0.0,active,,BRTipoDocumento,Tipo de Documento,"Classificação dos tipos de documentos compartilhados no Brasil.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRUnidadeMedida,1.0.0,active,,BRUnidadeMedida,Unidade de Medida,"CodeSystem utilizado para definir a unidade de medida de um medicamento prescrito, para consumo ou especificação do fabricante.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRViaAdministracao,1.0.0,active,,BRViaAdministracao,Via de Administração,"Classifica a via na qual foi administrada uma substância em um indivíduo.",
https://terminologia.saude.gov.br/fhir/CodeSystem/BRConselhoProfissional,1.0.0,draft,,BRConselhoProfissional,Conselhos profissionais de saúde do Brasil,"Esse CodeSystem inclui os conselhos profissionais de saúde do Brasil, conforme a Resolução CNS 251/1997.",
